storm name,landfall date,damage ranke,current damage($ 2020),base damage,landfall state,category,winds(MPH),MONTH,DATE,YEAR,MONTHINT
Gustav,"Sep 10,2002",247,0,100000,NC,TS,65,Sep,10,2002,9
Isidore,"Sep 26,2002",143,630000000,330000000,LA,TS,65,Sep,26,2002,9
Lili,"Oct 03,2002",113,1610000000,860000000,LA,1,90,Oct,3,2002,10
Kyle,"Oct 11,2002",234,11000000,5000000,SC,TS,40,Oct,11,2002,10
Hanna,"Sep 14,2002",222,38000000,20000000,MS,TS,60,Sep,14,2002,9
Fay,"Sep 07,2002",236,8000000,4500000,TX,TS,60,Sep,7,2002,9
Isabel,"Sep 18,2003",46,11010000000,5500000000,NC,2,105,Sep,18,2003,9
Claudette,"Jul 15,2003",165,330000000,180000000,TX,1,90,Jul,15,2003,7
Bill,"Jun 30,2003",201,95000000,50000000,LA,TS,60,Jun,30,2003,6
Frances,"Sep 05,2004",32,19990000000,9800000000,FL,2,105,Sep,5,2004,9
Jeanne,"Sep 26,2004",38,16800000000,7500000000,FL,3,120,Sep,26,2004,9
Alex,"Aug 03,2004",238,7000000,4000000,NC,1,80,Aug,3,2004,8
Ivan,"Sep 16,2004",15,36910000000,20500000000,AL,3,120,Sep,16,2004,9
Charley,"Aug 13,2004",14,36990000000,16000000000,FL,4,150,Aug,13,2004,8
Charley,"Aug 14,2004",185,190000000,90000000,SC,1,80,Aug,14,2004,8
Gaston,"Aug 29,2004",175,240000000,130000000,SC,1,75,Aug,29,2004,8
Wilma,"Oct 24,2005",17,33410000000,19000000000,FL,3,120,Oct,24,2005,10
Ophelia,"Sep 15,2005",190,130000000,70000000,NC,1,75,Sep,15,2005,9
Dennis,"Jul 10,2005",72,3930000000,2500000000,FL,3,120,Jul,10,2005,7
Katrina,"Aug 29,2005",3,1.48E+11,1.25E+11,LA,3,125,Aug,29,2005,8
Rita,"Sep 24,2005",24,23110000000,18500000000,LA,3,115,Sep,24,2005,9
Cindy,"Jul 05,2005",153,420000000,320000000,LA,1,75,Jul,5,2005,7
Ernesto,"Aug 29,2006",134,740000000,500000000,FL,TS,45,Aug,29,2006,8
Humberto,"Sep 13,2007",210,63000000,50000000,TX,1,90,Sep,13,2007,9
Ike,"Sep 13,2008",13,44260000000,30000000000,TX,2,110,Sep,13,2008,9
Gustav,"Sep 01,2008",54,7900000000,6000000000,LA,2,105,Sep,1,2008,9
Dolly,"Jul 23,2008",102,1940000000,1300000000,TX,1,85,Jul,23,2008,7
Fay,"Aug 19,2008",132,830000000,560000000,FL,TS,65,Aug,19,2008,8
Hanna,"Sep 06,2008",172,270000000,160000000,SC,TS,70,Sep,6,2008,9
Hermine,"Sep 06,2010",161,370000000,240000000,TX,TS,70,Sep,6,2010,9
Earl,"Sep 02,2010",228,22000000,18000000,NC,TS,70,Sep,2,2010,9
Earl,"Sep 02,2010",228,22000000,18000000,NC,TS,70,Sep,2,2010,9
Alex,"Jun 30,2010",232,15000000,10000000,TX,TS,70,Jun,30,2010,6
Irene,"Aug 27,2011",37,17160000000,13500000000,NC,1,75,Aug,27,2011,8
Isaac,"Aug 28,2012",78,3430000000,2800000000,LA,1,80,Aug,28,2012,8
Sandy,"Oct 29,2012",7,80090000000,65000000000,NY,1,75,Oct,29,2012,10
Arthur,"Jul 04,2014",237,7000000,6000000,NC,2,100,Jul,4,2014,7
Hermine,"Sep 02,2016",146,610000000,550000000,FL,1,80,Sep,2,2016,9
Matthew,"Oct 08,2016",44,11260000000,10000000000,SC,2,100,Oct,8,2016,10
Nate,"Oct 08,2017",176,230000000,225000000,MS,1,75,Oct,8,2017,10
Harvey,"Aug 25,2017",4,1.33E+11,1.25E+11,TX,4,130,Aug,25,2017,8
Irma,"Sep 10,2017",12,52970000000,50000000000,FL,4,130,Sep,10,2017,9
