storm name,landfall date,damage ranke,current damage($ 2020),base damage,landfall state,category,winds(MPH)
Jeanne,"Sep 26,2004",38,16800000000,7500000000,FL,3,120
Irene,"Aug 27,2011",37,17160000000,13500000000,NC,1,75
Storm 2 in 1919,"Sep 14,1919",34,18460000000,20000000,TX,3,115
Frances,"Sep 05,2004",32,19990000000,9800000000,FL,2,105
Allison,"Jun 05,2001",30,21700000000,8500000000,TX,TS,50
Diane,"Aug 17,1955",28,21960000000,200000000,NC,1,85
Dora,"Sep 09,1964",25,22720000000,250000000,FL,2,105
Rita,"Sep 24,2005",24,23110000000,18500000000,LA,3,115
Agnes,"Jun 22,1972",23,24490000000,2000000000,NY,1,85
Carol,"Aug 31,1954",22,24920000000,460000000,NY,3,120
Storm 2 in 1949,"Aug 26,1949",21,25900000000,52000000,FL,4,130
Camille,"Aug 17,1969",19,28520000000,1421000000,LA,5,190
Wilma,"Oct 24,2005",17,33410000000,19000000000,FL,3,120
Ivan,"Sep 16,2004",15,36910000000,20500000000,AL,3,120
Charley,"Aug 13,2004",14,36990000000,16000000000,FL,4,150
Ike,"Sep 13,2008",13,44260000000,30000000000,TX,2,110
Irma,"Sep 10,2017",12,52970000000,50000000000,FL,4,130
Sandy,"Oct 29,2012",7,80090000000,65000000000,NY,1,75
Andrew,"Aug 24,1992",6,87220000000,24000000000,FL,5,170
Galveston,"Aug 17,1915",5,1.21E+11,50000000,TX,4,130
Harvey,"Aug 25,2017",4,1.33E+11,1.25E+11,TX,4,130
Katrina,"Aug 29,2005",3,1.48E+11,1.25E+11,LA,3,125
Alicia,"Aug 18,1983",26,22330000000,3000000000,TX,3,115
Juan,"Oct 29,1985",63,6140000000,1500000000,LA,1,85
Elena,"Sep 02,1985",67,5360000000,1250000000,MS,3,115
Gloria,"Sep 27,1985",80,3260000000,800000000,NY,3,115
Kate,"Nov 21,1985",108,1800000000,300000000,FL,2,100
Gloria,"Sep 26,1985",140,660000000,100000000,NC,3,120
Diana,"Sep 13,1984",144,620000000,65000000,NC,2,110
Gilbert,"Sep 16,1988",167,290000000,50000000,TX,TS,70
Danny,"Aug 15,1985",182,200000000,50000000,LA,1,90
Bob,"Jul 25,1985",184,190000000,20000000,SC,1,75
Subtrop 1 1982,"Jun 18,1982",204,84000000,10000000,FL,TS,45
Charley,"Aug 17,1986",205,79000000,15000000,NC,1,75
Unnamed,"Aug 10,1987",227,27000000,7400000,TX,TS,45
Keith,"Nov 23,1988",231,16000000,3000000,FL,TS,65
Isidore,"Sep 27,1984",235,8000000,1000000,FL,TS,60
Bonnie,"Jun 26,1986",239,7000000,2000000,TX,1,85
Chris,"Sep 11,1982",242,3000000,2000000,LA,TS,65
Beryl,"Aug 09,1988",241,3000000,3000000,LA,TS,50
Chris,"Aug 28,1988",243,3000000,500000,GA,TS,45
Florence,"Sep 09,1988",244,2000000,2920000,LA,1,80
Floyd,"Oct 12,1987",246,1000000,500000,FL,1,75
Andrew,"Aug 24,1992",6,87220000000,24000000000,FL,5,170
Hugo,"Sep 21,1989",20,27430000000,7000000000,SC,4,140
Fran,"Sep 05,1996",33,18930000000,5000000000,NC,3,115
Opal,"Oct 04,1995",39,16510000000,4700000000,FL,3,115
Bob,"Aug 19,1991",70,4690000000,1500000000,RI,2,105
Andrew,"Aug 25,1992",83,3030000000,1000000000,LA,3,115
Allison,"Jun 26,1989",90,2710000000,500000000,TX,TS,45
Gordon,"Nov 16,1994",99,2060000000,400000000,FL,TS,50
Alberto,"Jul 03,1994",111,1710000000,500000000,FL,TS,65
Erin,"Aug 02,1995",120,1190000000,350000000,FL,1,85
Erin,"Aug 03,1995",127,1050000000,350000000,FL,2,100
Bertha,"Jul 12,1996",129,1020000000,270000000,NC,2,105
Josephine,"Oct 07,1996",147,610000000,130000000,FL,TS,70
Chantal,"Aug 01,1989",158,390000000,100000000,TX,1,80
Jerry,"Oct 15,1989",166,320000000,70000000,TX,1,85
Marco,"Oct 11,1990",168,290000000,57000000,FL,TS,35
Danny,"Jul 19,1997",173,270000000,100000000,LA,1,80
Beryl,"Aug 15,1994",174,250000000,73000000,FL,TS,60
Jerry,"Aug 23,1995",189,150000000,40600000,FL,TS,40
Emily,"Aug 31,1993",191,130000000,35000000,NC,3,115
Arlene,"Jun 20,1993",211,60000000,22000000,TX,TS,40
Allison,"Jun 05,1995",240,7000000,1700000,FL,TS,70
Dean,"Jul 30,1995",245,2000000,500000,TX,TS,45
