STORM NAME,LANDFALL DATE,DAMAGE RANK,CURRENT DAMAGE ($ 2020),BASE DAMAGE ($),LANDFALL STATE,CATEGORY,WINDS(MPH)
Hilda,"Oct 03,1964",76,"3,620,000,000","125,000,000",LA,3,120
Betsy,"Sep 08,1965",77,"3,500,000,000","139,300,000",FL,3,120
Isaac,"Aug 28,2012",78,"3,430,000,000","2,800,000,000",LA,1,80
Doria,"Aug 27,1971",79,"3,420,000,000","147,350,000",NC,TS,65
Gloria,"Sep 27,1985",80,"3,260,000,000","800,000,000",NY,3,115
Storm 2 in 1942,"Aug 30,1942",81,"3,090,000,000","26,500,000",TX,3,120
Allen,"Aug 09,1980",82,"3,040,000,000","300,000,000",TX,3,115
Andrew,"Aug 25,1992",83,"3,030,000,000","1,000,000,000",LA,3,115
New Orleans,"Sep 29,1915",84,"2,980,000,000","13,000,000",LA,3,125
Storm 6 in 1906,"Sep 27,1906",85,"2,970,000,000","4,000,000",MS,2,110
Storm 5 in 1945,"Aug 27,1945",87,"2,830,000,000","20,000,000",TX,3,115
Storm 4 in 1947,"Sep 19,1947",86,"2,830,000,000","79,000,000",LA,2,105
Storm 12 in 1933,"Sep 04,1933",88,"2,720,000,000","1,000,000",FL,3,120
Connie,"Aug 12,1955",89,"2,710,000,000","40,000,000",NC,3,120
Allison,"Jun 26,1989",90,"2,710,000,000","500,000,000",TX,TS,45
Storm 6 in 1916,"Aug 18,1916",91,"2,460,000,000","1,800,000",TX,4,130
Bonnie,"Aug 26,1998",92,"2,410,000,000","720,000,000",NC,2,110
Easy,"Sep 04,1950",93,"2,380,000,000","3,300,000",FL,3,120
Labor Day,"Sep 02,1935",94,"2,320,000,000","5,000,000",FL,5,160
David,"Sep 03,1979",95,"2,270,000,000","160,000,000",FL,2,105
Valasco,"Jul 21,1909",96,"2,210,000,000","2,000,000",TX,3,115
Storm 8 in 1906,"Oct 18,1906",97,"2,140,000,000","200,000",FL,3,120
Flossy,"Sep 24,1956",98,"2,060,000,000","25,000,000",LA,2,105
Gordon,"Nov 16,1994",99,"2,060,000,000","400,000,000",FL,TS,50
Claudette,"Jul 24,1979",100,"2,020,000,000","400,000,000",TX,TS,50
Agnes,"Jun 19,1972",101,"1,950,000,000","100,000,000",FL,1,85
Irene,"Oct 15,1999",103,"1,940,000,000","800,000,000",FL,1,80
Dolly,"Jul 23,2008",102,"1,940,000,000","1,300,000,000",TX,1,85
Storm 4 in 1913,"Sep 03,1913",105,"1,930,000,000","3,000,000",NC,1,85
Storm 3 in 1940,"Aug 11,1940",104,"1,930,000,000","7,000,000",SC,2,105
How,"Oct 02,1951",106,"1,850,000,000","2,000,000",FL,TS,70
Storm 2 in 1916,"Jul 05,1916",107,"1,800,000,000","3,000,000",AL,3,120
Kate,"Nov 21,1985",108,"1,800,000,000","300,000,000",FL,2,100
Storm 13 in 1933,"Sep 16,1933",109,"1,770,000,000","4,750,000",NC,3,120
Storm 3 in 1926,"Aug 25,1926",110,"1,750,000,000","7,000,000",LA,3,115
Alberto,"Jul 03,1994",111,"1,710,000,000","500,000,000",FL,TS,65
Storm 5 in 1946,"Oct 07,1946",112,"1,700,000,000","5,200,000",FL,1,85
Lili,"Oct 03,2002",113,"1,610,000,000","860,000,000",LA,1,90
David,"Sep 04,1979",114,"1,570,000,000","160,000,000",GA,2,105
Carmen,"Sep 07,1974",115,"1,530,000,000","150,000,000",LA,3,120
Grand Isle,"Sep 20,1909",116,"1,400,000,000","5,000,000",LA,3,120
Storm 10 in 1949,"Oct 04,1949",117,"1,380,000,000","6,700,000",TX,2,105
